SPEC_ID,RA_1,DEC_1,DIST,source_id_1,ra_2,dec_2,parallax_1,pmra_1,pmdec_1,VR,U,V,W,X,Y,Z,L_1,B_1
20130227-GAC108N13V3-13-117,110.20245,14.8267889,553.19293,3.16701E+18,110.2024699,14.82678203,0.006141766,-21.79359635,16.78666082,37.574997,-128.8182512,395.7747236,-91.85923027,9.645204606,0.691438565,0.415278644,202.7958516,13.09973436
20130301-GAC111N10V1-04-169,110.93507,10.60022545,618.3478,3.15589E+18,110.9350858,10.60021095,-0.820720827,-19.44874318,26.65091801,55.975,-197.2230778,482.9477209,-39.83812353,9.840209266,0.938488365,0.436564475,207.0211683,11.93329998
20141229-HIP30541_1-05-109,96.367245,6.30810976,0,3.32392E+18,96.36724124,6.308092888,-0.367791176,-32.06001603,22.61812801,24.45,-167.3835252,581.6562158,-198.4206509,10.19243198,0.99223807,-0.120281485,204.3503083,-2.861295284
20151011-HD065450N031414V01-09-175,104.325405,3.939011097,0,3.12819E+18,104.3253948,3.939012586,-1.104436507,-17.39613154,13.06003998,30.518248,-127.6239217,389.6799694,-95.56210292,9.981443409,1.148162462,0.123930968,210.0905293,3.097697742
20151012-HD071947N070834V01-14-054,108.1974283,7.514779568,907.6662,3.15353E+18,108.1974166,7.514769309,-0.061290338,-22.01548348,8.703055467,23.880747,-112.5284525,353.4815416,-143.3653757,9.794904288,0.979636294,0.292746714,208.625211,8.147375164
20151201-HD063739N014841V01-13-069,101.765589,1.955706,1454.5425,3.12636E+18,101.7655867,1.955699257,-1.056973997,-21.40814821,11.98341128,37.8,-145.4386286,412.424804,-153.8337995,10.14315391,1.272140348,-0.003537812,210.6927011,-0.081280878
20151228-HD070312N090124V01-15-138,105.8498619,10.1080817,1259.6431,3.15805E+18,105.8498312,10.10809433,-0.181939819,-20.83551141,13.181826,21.975,-108.6113231,388.8734858,-111.036786,9.794695052,0.846060429,0.25147129,205.240345,7.22332599
20160320-HD073750N140231V01-12-197,115.8452625,15.917225,1508.9136,3.16573E+18,115.8452495,15.9172263,-1.03108421,-23.06245827,14.5491022,26.475,-186.6146844,451.7525676,-168.4959495,10.32486128,1.040127358,0.852395666,204.1034991,18.50421528
20160320-HD073750N140231V01-14-010,112.2749375,15.1434981,2220.613,3.16837E+18,112.2748864,15.14348517,-1.079771147,-29.01874907,11.82774715,55.25,-159.0720039,361.8967981,-154.7007777,9.585829167,0.685110651,0.464489643,203.3654067,15.04989464
20120112-GAC_104N11_V3-03-151,103.29862,12.09833813,789.2788,3.35149E+18,103.2986269,12.09838382,0.187208924,-19.07005899,14.87755773,2.35,-85.95347626,423.3953548,-97.90684686,9.964346714,0.806613579,0.21825082,202.3244623,5.86819649
20120311-GAC_102N27_V2-01-111,102.80401,25.29409599,2527.5872,3.38156E+18,102.8039885,25.29410527,0.293019556,-16.94286913,14.72917365,75.549995,-113.8006441,400.2234811,-64.40131993,9.940891158,0.345711346,0.389963317,190.0996731,11.18911452
20121126-GAC105N15V3-11-125,105.34191,17.60559464,938.631,3.36132E+18,105.3419098,17.60560755,-0.326961694,-37.47132228,25.02387473,-4.875,-147.481345,587.1017992,-225.7259626,10.00968796,0.660808456,0.375270534,198.2015277,10.05897606
20140103-GAC092N13V3-02-174,91.025709,12.33225632,658.49396,3.34263E+18,91.02572171,12.33218393,0.132772969,-20.10927826,7.905013424,65.825,-90.16630274,370.8783424,-137.5588757,10.0457774,0.607181682,-0.173233388,196.5307283,-4.640924026
20150303-HD064649N164620V01-15-226,101.06451,17.65770912,674.0488,3.35921E+18,101.0645103,17.65768711,0.0789885,-20.78676501,17.06613298,63.699997,-121.4949651,409.426257,-81.93191392,9.76169423,0.516882873,0.206460552,196.3517746,6.416255329
20150325-HD103827N055449V01-08-106,160.538657,4.695953846,1528.977,3.85827E+18,160.5386523,4.695963353,-3.883671274,-30.60454516,21.65873006,-22.25,-290.9022185,317.0857875,-62.77706009,8.503507361,0.997464746,1.424862304,243.2160678,51.89726621
