#ignore	id	x	y	z	vx	vy	vz	m
1	0	-7.9987819105	-0.164419252552	0.05156365792746545	-4.52126291956	219.953536415	0	4.4986588823073005e-06
1	1	-7.97399991151	0.227204226696	-0.054308486569168805	6.26594587759	219.910749902	0	4.4986588823073005e-06
1	2	-8.23166036848	-0.0834318539839	0.06047978235597812	-2.22969174391	219.988700789	0	4.4986588823073005e-06
1	3	-8.16592450604	-0.174483795886	-0.05739997663681371	-4.69973426498	219.949795403	0	4.4986588823073005e-06
1	4	-7.87782581677	-0.179350798797	0.023705698684971105	-5.00734022314	219.94300749	0	4.4986588823073005e-06
1	5	-8.19922233762	0.12521761427	0.08992610441391904	3.35942386526	219.974349121	0	4.4986588823073005e-06
1	6	-8.06622306477	-0.128865064281	-0.07420186680742154	-3.51424659301	219.971930189	0	4.4986588823073005e-06
1	7	-7.85104463681	0.0938936304826	0.03826097097761755	2.63087558366	219.984268741	0	4.4986588823073005e-06
1	8	-7.98248050084	0.132530362497	-0.018540279568481102	3.65208058884	219.969684974	0	4.4986588823073005e-06
1	9	-7.96368301652	-0.0949841238849	-0.049721600647087354	-2.62378864541	219.984353383	0	4.4986588823073005e-06
1	10	-8.23362050391	0.00914741755551	-0.04996547213218697	0.244416246693	219.999864229	0	4.4986588823073005e-06
1	11	-7.83047735798	0.187782315904	-0.03362863790889481	5.27429347166	219.936767796	0	4.4986588823073005e-06
1	12	-8.08854735265	-0.215794491935	0.021013128195913125	-5.86729601829	219.921747077	0	4.4986588823073005e-06
1	13	-7.88926046567	0.118784362027	-0.052527641271407945	3.31204656957	219.975067559	0	4.4986588823073005e-06
1	14	-7.81128115647	0.00854533130639	0.04535057156795769	0.240673933609	219.999868355	0	4.4986588823073005e-06
1	15	-8.15897535726	-0.0544872085455	-0.009898729308956494	-1.46916960284	219.995094356	0	4.4986588823073005e-06
1	16	-7.91327094666	-0.173018158931	-0.08339794072526695	-4.80899747752	219.947433591	0	4.4986588823073005e-06
1	17	-7.9312514037	-0.0436742049075	0.09485333141998945	-1.21143296551	219.996664589	0	4.4986588823073005e-06
1	18	-8.11139480469	-0.0194825449183	0.0792655145155827	-0.528410664486	219.999365413	0	4.4986588823073005e-06
1	19	-7.89350668161	-0.0416539375435	-0.09653001456322008	-1.16092112677	219.996936938	0	4.4986588823073005e-06
1	20	-7.9931071133	0.0860640892104	0.0007022261045742245	2.36866613892	219.987248314	0	4.4986588823073005e-06
